mean  	sigma	
3.03899 1.52411
3.02021	1.52808
3.02078	1.52249
3.01346	1.51949
3.00679	1.5335
3.00878	1.5128
3.02223	1.52965
2.98098	1.52458
2.99402	1.52798
3.0073	1.56863
2.99305	1.56212
2.99418	1.56349
3.01266	1.5864
2.98183	1.56747
2.95898	1.51722
2.9347	1.51035
2.96209	1.52779
3.00342	1.51809
2.95594	1.54416
3.03683	1.57377
3.01964	1.53185
3.03029	1.55257
3.07496	1.47228
3.02029	1.44871
3.02972	1.47286
3.07616	1.50423
3.09646	1.52911
3.08002	1.54636
3.05244	1.53381
3.00559	1.49016
3.02836	1.51279
3.02542	1.47992
3.05699	1.49579
3.04123	1.48082
3.02576	1.48109
2.96435	1.48394
2.91988	1.52856
2.96694	1.60041
2.92484	1.57984
2.92839	1.55234
2.90478	1.52366
2.8948	1.55284
3.00097	1.57239
3.05327	1.59225
2.97631	1.53756
2.95963	1.5324
3.0353	1.5022
3.06727	1.52157
3.08411	1.5891
3.14985	1.5711
3.08895	1.51424
3.0415	1.48463
3.07467	1.54659
3.00924	1.53858
3.00419	1.50162
3.04587	1.49754
3.00505	1.46837
3.06085	1.49489
3.02617	1.48563
3.14396	1.5273
3.10994	1.55132
3.0793	1.58762
3.0705	1.61369
3.10497	1.53875
3.08441	1.55475
3.06642	1.56002
3.10486	1.54189
3.01478	1.48191
2.93009	1.48881
3.05376	1.50554
3.02577	1.53117
3.02605	1.53005
2.97559	1.50338
2.94632	1.48944
2.90875	1.57859
2.9902	1.60634
2.97447	1.52506
3.01271	1.54727
3.08245	1.55986
3.04091	1.58483
2.99237	1.59114
3.06418	1.55742
2.97492	1.5474
2.99116	1.50675
3.02494	1.50535
3.04116	1.5267
3.02255	1.53858
2.9425	1.53676
3.06294	1.56478
3.0133	1.56159
2.96656	1.58012
2.98644	1.52238
2.95068	1.50548
3.06603	1.53228
3.07509	1.56661
2.94829	1.51142
3.01032	1.6069
3.00574	1.51411
2.96142	1.478
3.10155	1.51663
3.06924	1.58017
3.00233	1.48827
3.0002	1.52261
3.03186	1.52139
3.05363	1.58398
3.04566	1.51937
3.05863	1.52531
3.06497	1.50872
3.04373	1.4931
3.06099	1.55246
3.00688	1.52079
3.02848	1.55881
2.98655	1.55539
2.95687	1.48592
3.04047	1.53382
3.05146	1.54508
3.06035	1.59386
3.01884	1.56542
3.02571	1.56854
3.07609	1.57201
2.9878	1.54104
3.07562	1.49912
2.99515	1.55548
3.06183	1.52846
3.03133	1.47669
3.00698	1.52189
3.04748	1.57942
3.02102	1.52146
2.95807	1.56738
2.98641	1.55863
3.07057	1.54429
2.99821	1.51513
3.04885	1.55633
3.02104	1.56864
3.01377	1.51889
2.99973	1.53491
3.00443	1.53714
3.03458	1.48406
2.98892	1.46832
3.00676	1.49579
3.02585	1.56814
2.97895	1.52348
3.05395	1.57193
3.01169	1.53258
3.08186	1.5324
3.03925	1.6133
3.07758	1.59819
2.98178	1.59362
3.01823	1.5398
3.04473	1.54122
3.06137	1.56141
3.09722	1.50146
2.95209	1.54235
2.99128	1.48472
3.10174	1.52024
3.0678	1.56182
3.03014	1.59529
3.08705	1.52981
3.03997	1.49488
2.96672	1.57543
3.0334	1.46632
2.98893	1.60549
2.95464	1.60513
3.10413	1.57045
2.98357	1.59019
2.9297	1.52861
2.9788	1.49451
3.02285	1.54065
2.99496	1.51304
3.00183	1.57417
2.91861	1.53651
2.93173	1.50063
2.92256	1.52765
2.94183	1.56389
2.9376	1.45478
3.01906	1.51201
3.00612	1.53412
2.91874	1.53548
2.93128	1.47443
3.02987	1.56454
2.96895	1.52697
3.00366	1.5899
2.92777	1.54021
2.96426	1.56917
2.92882	1.52663
3.02354	1.57111
3.04992	1.57785
3.03185	1.57756
2.92178	1.50912
2.9595	1.59352
2.86519	1.54804
2.9811	1.55475
2.99164	1.50824
3.0561	1.56763
3.04708	1.54694
2.92723	1.55836
2.95292	1.56387
3.03076	1.49365
2.9801	1.53089
3.06299	1.54363
3.05574	1.49685
2.98437	1.51319
3.10493	1.50033
2.97013	1.49846
3.0251	1.48026
3.00785	1.48705
3.00463	1.54302
3.05017	1.52125
3.0615	1.55232
3.01386	1.52412
3.04554	1.5241
2.98189	1.47444
3.09634	1.52802
3.06061	1.5318
3.05943	1.54876
2.97343	1.48738
2.99327	1.57128
2.99601	1.54812
3.04253	1.52157
2.97911	1.54959
3.04109	1.51822
2.9636	1.5222
3.07855	1.5008
3.04573	1.52268
2.95926	1.49515
2.95674	1.5928
2.94032	1.51899
2.98186	1.50833
2.97141	1.53189
2.99908	1.49365
3.03094	1.57225
3.08579	1.52433
3.00207	1.47058
2.96053	1.54933
3.03583	1.56019
3.00026	1.53309
3.05355	1.52063
3.0372	1.5001
3.02773	1.53755
2.97449	1.56796
3.03692	1.5673
3.0059	1.57389
3.05351	1.56091
3.08002	1.50588
3.01991	1.57749
3.02307	1.52917
2.97843	1.53656
2.97258	1.48014
3.01646	1.56071
3.00768	1.58586
2.94214	1.58051
2.96991	1.5412
2.99552	1.5642
3.00545	1.56922
3.04007	1.50965
3.00203	1.55152
3.02041	1.52348
3.03179	1.51855
3.03885	1.56159
2.95036	1.56832
3.00258	1.58944
3.03289	1.5087
2.97519	1.51765
3.04103	1.51309
3.07551	1.54405
3.02821	1.54036
2.96193	1.55253
2.9807	1.554
3.06096	1.52077
3.05394	1.57324
2.99695	1.58123
3.04452	1.49905
3.02255	1.54533
3.07899	1.57057
2.99041	1.52656
2.98231	1.52168
3.04041	1.53575
2.978	1.59515
2.94059	1.58204
3.02402	1.58242
3.00782	1.52694
3.02627	1.51586
3.11849	1.52065
3.11813	1.49344
2.94915	1.48283
2.97716	1.59381
3.00735	1.60089
2.97059	1.57298
3.03527	1.50797
3.00394	1.54185
3.04647	1.50846
3.15287	1.5704
3.11091	1.5189
3.09528	1.52324
3.07359	1.53456
3.04185	1.49134
3.06535	1.59501
3.08369	1.54396
2.97576	1.54921
3.01389	1.55703
2.98684	1.52057
3.07725	1.54908
3.09178	1.58297
3.12881	1.50792
3.14879	1.57394
3.14658	1.57677
3.13772	1.52321
3.1214	1.49353
2.9972	1.5157
2.97921	1.52899
3.08261	1.61344
3.01891	1.55942
3.03435	1.5171
3.03941	1.49825
2.95588	1.49401
2.94677	1.50792
2.96557	1.49838
2.97342	1.57034
3.01504	1.52655
2.91703	1.46332
3.0882	1.42564
3.01931	1.60903
3.05001	1.61284
3.10594	1.5396
2.95981	1.52206
3.00038	1.53249
2.97276	1.51951
3.02593	1.49932
3.01288	1.51407
2.96575	1.4957
2.97253	1.53216
2.96619	1.48222
2.92487	1.54502
2.97981	1.5713
3.0659	1.58428
2.99953	1.56965
3.10129	1.46534
3.02888	1.60673
2.94768	1.56998
3.01777	1.5929
2.9484	1.50628
3.10645	1.55548
3.01578	1.51498
3.01524	1.53862
3.01644	1.48427
3.13793	1.4851
3.14963	1.52356
3.09027	1.49225
3.07216	1.47767
2.99937	1.50469
2.98976	1.54811
2.97486	1.50328
2.98297	1.54712
3.04395	1.48157
3.01499	1.51262
3.05671	1.56523
2.94514	1.55748
2.9142	1.55584
3.00321	1.52154
3.00914	1.56317
3.03287	1.57284
3.09369	1.54406
3.08353	1.54202
3.02478	1.48462
3.01297	1.54398
2.97155	1.57176
2.95239	1.54017
3.06469	1.57705
3.09403	1.51513
3.04817	1.45945
3.03117	1.61001
3.03222	1.62202
2.96895	1.49584
3.10467	1.50495
3.00492	1.51326
3.05362	1.52703
3.0184	1.57614
3.06502	1.55613
3.01869	1.49282
3.01514	1.47121
2.93456	1.52251
3.00462	1.54106
3.05531	1.55232
2.98483	1.56086
3.02249	1.47549
3.02807	1.52969
3.0604	1.50723
3.06888	1.49999
2.99512	1.56676
3.01679	1.54606
3.00279	1.48404
3.02109	1.54962
2.99714	1.50157
3.11033	1.48905
3.01589	1.54509
3.04582	1.54859
2.99876	1.50506
3.06265	1.51268
3.00575	1.49673
2.95924	1.46924
3.11501	1.49328
3.02876	1.49448
3.04642	1.51735
2.94058	1.53638
3.04255	1.47747
3.0619	1.5102
3.03619	1.52712
2.98783	1.48893
